# hostname;interval;timestamp;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
NOEYYRYH;60;2017-08-07 23:12:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:13:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:14:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:15:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:16:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:17:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:18:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:19:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:20:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:21:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:22:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:23:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:24:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:25:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:26:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:27:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:28:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:29:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:30:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:31:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:32:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:33:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:34:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:35:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:36:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:37:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:38:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:39:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:40:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:41:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:42:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:43:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:44:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:45:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:46:01 UTC;2097008;140;0.01;0;0.00
