# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
NOEYYRYH;600;2017-07-28 07:40:01 UTC;-1;0.90;0.00;0.28;0.15;0.00;98.68
NOEYYRYH;600;2017-07-28 07:50:02 UTC;-1;0.87;0.00;0.27;0.10;0.00;98.76
NOEYYRYH;599;2017-07-28 08:00:01 UTC;-1;0.85;0.00;0.27;0.08;0.00;98.79
NOEYYRYH;600;2017-07-28 08:10:01 UTC;-1;0.89;0.00;0.27;0.17;0.00;98.68
NOEYYRYH;600;2017-07-28 08:20:01 UTC;-1;0.90;0.00;0.27;0.31;0.00;98.52
NOEYYRYH;600;2017-07-28 08:30:01 UTC;-1;0.91;0.00;0.27;0.07;0.00;98.74
NOEYYRYH;600;2017-07-28 08:40:01 UTC;-1;0.84;0.00;0.26;0.24;0.00;98.66
NOEYYRYH;600;2017-07-28 08:50:02 UTC;-1;0.85;0.00;0.26;0.18;0.00;98.71
NOEYYRYH;599;2017-07-28 09:00:01 UTC;-1;0.89;0.00;0.27;0.12;0.00;98.72
NOEYYRYH;600;2017-07-28 09:10:01 UTC;-1;0.85;0.00;0.26;0.10;0.00;98.79
NOEYYRYH;600;2017-07-28 09:20:01 UTC;-1;0.87;0.00;0.26;0.12;0.00;98.75
NOEYYRYH;600;2017-07-28 09:30:01 UTC;-1;0.86;0.00;0.26;0.35;0.00;98.53
NOEYYRYH;600;2017-07-28 09:40:01 UTC;-1;0.86;0.00;0.26;0.09;0.00;98.79
NOEYYRYH;599;2017-07-28 09:50:01 UTC;-1;0.89;0.00;0.27;0.13;0.00;98.71
NOEYYRYH;600;2017-07-28 10:00:01 UTC;-1;0.85;0.00;0.26;0.12;0.00;98.77
NOEYYRYH;600;2017-07-28 10:10:01 UTC;-1;0.86;0.00;0.26;0.10;0.00;98.78
NOEYYRYH;600;2017-07-28 10:20:01 UTC;-1;0.86;0.00;0.27;0.08;0.00;98.79
NOEYYRYH;600;2017-07-28 10:30:01 UTC;-1;0.89;0.00;0.27;0.16;0.00;98.68
NOEYYRYH;600;2017-07-28 10:40:01 UTC;-1;0.89;0.00;0.28;0.12;0.00;98.72
NOEYYRYH;600;2017-07-28 10:50:01 UTC;-1;0.88;0.00;0.28;0.11;0.00;98.73
NOEYYRYH;599;2017-07-28 11:00:01 UTC;-1;0.90;0.00;0.29;0.09;0.00;98.72
NOEYYRYH;600;2017-07-28 11:10:01 UTC;-1;0.90;0.00;0.27;0.15;0.00;98.68
NOEYYRYH;600;2017-07-28 11:20:01 UTC;-1;0.86;0.00;0.26;0.08;0.00;98.80
NOEYYRYH;600;2017-07-28 11:30:01 UTC;-1;0.88;0.00;0.26;0.09;0.00;98.77
NOEYYRYH;600;2017-07-28 11:40:01 UTC;-1;0.89;0.00;0.28;0.26;0.00;98.57
NOEYYRYH;600;2017-07-28 11:50:01 UTC;-1;0.89;0.00;0.34;0.26;0.00;98.51
NOEYYRYH;600;2017-07-28 12:00:01 UTC;-1;0.88;0.00;0.28;0.14;0.00;98.71
NOEYYRYH;599;2017-07-28 12:10:01 UTC;-1;0.87;0.00;0.29;0.10;0.00;98.74
NOEYYRYH;600;2017-07-28 12:20:01 UTC;-1;0.88;0.00;0.27;0.08;0.00;98.77
NOEYYRYH;600;2017-07-28 12:30:01 UTC;-1;0.88;0.00;0.28;0.08;0.00;98.77
NOEYYRYH;600;2017-07-28 12:40:01 UTC;-1;0.91;0.00;0.29;0.29;0.00;98.51
NOEYYRYH;600;2017-07-28 12:50:01 UTC;-1;0.91;0.00;0.28;0.25;0.00;98.57
NOEYYRYH;600;2017-07-28 13:00:01 UTC;-1;0.86;0.00;0.27;0.12;0.00;98.75
NOEYYRYH;600;2017-07-28 13:10:02 UTC;-1;0.89;0.00;0.28;0.18;0.00;98.65
NOEYYRYH;599;2017-07-28 13:20:01 UTC;-1;0.94;0.00;0.30;0.24;0.00;98.52
NOEYYRYH;600;2017-07-28 13:30:01 UTC;-1;0.89;0.00;0.29;0.10;0.00;98.72
NOEYYRYH;600;2017-07-28 13:40:01 UTC;-1;0.91;0.00;0.27;0.14;0.00;98.68
NOEYYRYH;600;2017-07-28 13:50:01 UTC;-1;0.86;0.00;0.27;0.21;0.00;98.66
NOEYYRYH;420;2017-07-28 13:57:01 UTC;-1;1.07;0.00;0.29;0.35;0.00;98.29
NOEYYRYH;60;2017-07-28 13:58:01 UTC;-1;0.26;0.00;0.25;0.09;0.00;99.40
NOEYYRYH;60;2017-07-28 13:59:01 UTC;-1;1.44;0.00;0.35;0.20;0.00;98.01
NOEYYRYH;60;2017-07-28 14:00:01 UTC;-1;0.23;0.00;0.20;0.05;0.00;99.52
NOEYYRYH;60;2017-07-28 14:01:01 UTC;-1;1.74;0.00;0.41;0.10;0.00;97.75
NOEYYRYH;60;2017-07-28 14:02:01 UTC;-1;0.09;0.00;0.19;0.20;0.00;99.52
NOEYYRYH;60;2017-07-28 14:03:01 UTC;-1;1.88;0.00;0.44;0.12;0.00;97.56
NOEYYRYH;60;2017-07-28 14:04:01 UTC;-1;0.09;0.00;0.16;0.08;0.00;99.67
NOEYYRYH;60;2017-07-28 14:05:01 UTC;-1;1.71;0.00;0.41;0.25;0.00;97.63
NOEYYRYH;60;2017-07-28 14:06:01 UTC;-1;0.17;0.00;0.18;0.05;0.00;99.61
NOEYYRYH;60;2017-07-28 14:07:01 UTC;-1;1.72;0.00;0.44;0.10;0.00;97.74
NOEYYRYH;60;2017-07-28 14:08:01 UTC;-1;0.16;0.00;0.13;0.05;0.00;99.67
NOEYYRYH;60;2017-07-28 14:09:01 UTC;-1;1.55;0.00;0.43;0.13;0.00;97.88
NOEYYRYH;60;2017-07-28 14:10:01 UTC;-1;0.33;0.00;0.14;0.56;0.00;98.97
NOEYYRYH;60;2017-07-28 14:11:01 UTC;-1;1.41;0.00;0.41;0.29;0.00;97.89
NOEYYRYH;60;2017-07-28 14:12:01 UTC;-1;0.39;0.00;0.16;0.08;0.00;99.37
NOEYYRYH;60;2017-07-28 14:13:01 UTC;-1;1.43;0.00;0.45;0.11;0.00;98.01
NOEYYRYH;60;2017-07-28 14:14:02 UTC;-1;0.49;0.00;0.14;0.13;0.00;99.24
NOEYYRYH;59;2017-07-28 14:15:01 UTC;-1;1.13;0.00;0.38;0.10;0.00;98.39
NOEYYRYH;60;2017-07-28 14:16:01 UTC;-1;0.68;0.00;0.15;0.06;0.00;99.12
NOEYYRYH;60;2017-07-28 14:17:01 UTC;-1;1.11;0.00;0.37;0.07;0.00;98.46
NOEYYRYH;60;2017-07-28 14:18:01 UTC;-1;0.76;0.00;0.22;0.17;0.00;98.86
NOEYYRYH;60;2017-07-28 14:19:01 UTC;-1;1.20;0.00;0.37;0.14;0.00;98.29
NOEYYRYH;60;2017-07-28 14:20:01 UTC;-1;0.50;0.00;0.15;0.08;0.00;99.27
NOEYYRYH;60;2017-07-28 14:21:01 UTC;-1;1.25;0.00;0.43;0.21;0.00;98.11
NOEYYRYH;60;2017-07-28 14:22:01 UTC;-1;0.55;0.00;0.18;0.79;0.00;98.48
NOEYYRYH;60;2017-07-28 14:23:01 UTC;-1;1.28;0.00;0.42;0.13;0.00;98.17
NOEYYRYH;60;2017-07-28 14:24:01 UTC;-1;0.53;0.00;0.15;0.25;0.00;99.07
NOEYYRYH;60;2017-07-28 14:25:01 UTC;-1;1.23;0.00;0.38;0.12;0.00;98.28
NOEYYRYH;60;2017-07-28 14:26:01 UTC;-1;0.73;0.00;0.23;0.09;0.00;98.95
NOEYYRYH;60;2017-07-28 14:27:01 UTC;-1;1.14;0.00;0.33;0.11;0.00;98.42
NOEYYRYH;60;2017-07-28 14:28:01 UTC;-1;0.60;0.00;0.16;0.11;0.00;99.13
NOEYYRYH;60;2017-07-28 14:29:01 UTC;-1;1.04;0.00;0.39;0.10;0.00;98.46
NOEYYRYH;60;2017-07-28 14:30:01 UTC;-1;0.68;0.00;0.18;0.13;0.00;99.02
NOEYYRYH;60;2017-07-28 14:31:01 UTC;-1;1.02;0.00;0.41;0.55;0.00;98.02
NOEYYRYH;60;2017-07-28 14:32:01 UTC;-1;0.63;0.00;0.17;0.11;0.00;99.09
NOEYYRYH;60;2017-07-28 14:33:01 UTC;-1;1.23;0.00;0.38;0.08;0.00;98.31
