# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
NOEYYRYH;60;2017-07-30 22:49:01 UTC;0.00;578.23;811.60;0.00;419.37;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:50:01 UTC;0.00;573.82;990.23;0.00;586.24;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:51:01 UTC;0.00;572.06;827.79;0.00;414.65;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:52:01 UTC;0.00;573.62;996.77;0.00;586.56;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:53:01 UTC;0.00;576.96;814.14;0.00;411.60;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:54:01 UTC;0.00;581.59;1013.33;0.00;613.99;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:55:01 UTC;0.00;572.43;822.59;0.00;411.87;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:56:01 UTC;0.00;572.29;1008.20;0.00;683.39;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:57:01 UTC;0.00;572.69;774.89;0.00;400.52;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:58:01 UTC;0.00;578.93;1047.00;0.00;594.93;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:59:01 UTC;0.07;577.46;781.16;0.00;406.12;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:00:01 UTC;0.00;574.75;1038.57;0.00;598.62;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:01:01 UTC;0.00;572.69;813.41;0.00;408.74;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:02:01 UTC;1.20;577.02;1117.73;0.02;622.53;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:03:01 UTC;0.00;577.22;829.41;0.00;458.86;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:04:01 UTC;0.00;580.55;997.30;0.00;586.24;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:05:01 UTC;0.00;571.94;801.03;0.00;410.11;0.00;0.00;0.00;0.00
